date,state_holiday,school_holiday
24.07.23,0,1
25.07.23,0,1
26.07.23,0,1
27.07.23,0,1
28.07.23,0,1
29.07.23,0,1
30.07.23,0,1
31.07.23,0,1
01.08.23,0,1
02.08.23,0,1
03.08.23,0,1
04.08.23,0,1
05.08.23,0,1
06.08.23,0,1
07.08.23,0,1
08.08.23,0,1
09.08.23,0,1
10.08.23,0,1
11.08.23,0,1
12.08.23,0,1
13.08.23,0,1
14.08.23,0,1
15.08.23,0,1
16.08.23,0,1
17.08.23,0,1
18.08.23,0,1
19.08.23,0,1
20.08.23,0,1
21.08.23,0,1
22.08.23,0,1
23.08.23,0,1
24.08.23,0,0
25.08.23,0,0
26.08.23,0,0
27.08.23,0,0
28.08.23,0,0
29.08.23,0,0
30.08.23,0,0
31.08.23,0,0
01.09.23,0,0
02.09.23,0,0
03.09.23,0,0
04.09.23,0,0
05.09.23,0,0
06.09.23,0,0
07.09.23,0,0
08.09.23,0,0
09.09.23,0,0
10.09.23,0,0
11.09.23,0,0
12.09.23,0,0
13.09.23,0,0
14.09.23,0,0
15.09.23,0,0
16.09.23,0,0
17.09.23,0,0
18.09.23,0,0
19.09.23,0,0
20.09.23,0,0
21.09.23,0,0
22.09.23,0,0
23.09.23,0,0
24.09.23,0,0
25.09.23,0,0
26.09.23,0,0
27.09.23,0,0
28.09.23,0,0
29.09.23,0,0
30.09.23,0,0
01.10.23,0,0
02.10.23,0,1
03.10.23,1,0
04.10.23,0,0
05.10.23,0,0
06.10.23,0,0
07.10.23,0,0
08.10.23,0,0
09.10.23,0,0
10.10.23,0,0
11.10.23,0,0
12.10.23,0,0
13.10.23,0,0
14.10.23,0,0
15.10.23,0,0
16.10.23,0,1
17.10.23,0,1
18.10.23,0,1
19.10.23,0,1
20.10.23,0,1
21.10.23,0,1
22.10.23,0,1
23.10.23,0,1
24.10.23,0,1
25.10.23,0,1
26.10.23,0,1
27.10.23,0,1
28.10.23,0,0
29.10.23,0,0
30.10.23,0,0
31.10.23,1,0
01.11.23,0,0
02.11.23,0,0
03.11.23,0,0
04.11.23,0,0
05.11.23,0,0
06.11.23,0,0
07.11.23,0,0
08.11.23,0,0
09.11.23,0,0
10.11.23,0,0
11.11.23,0,0
12.11.23,0,0
13.11.23,0,0
14.11.23,0,0
15.11.23,0,0
16.11.23,0,0
17.11.23,0,0
18.11.23,0,0
19.11.23,0,0
20.11.23,0,0
21.11.23,0,0
22.11.23,0,0
23.11.23,0,0
24.11.23,0,0
25.11.23,0,0
26.11.23,0,0
27.11.23,0,0
28.11.23,0,0
29.11.23,0,0
30.11.23,0,0
01.12.23,0,0
02.12.23,0,0
03.12.23,0,0
04.12.23,0,0
05.12.23,0,0
06.12.23,0,0
07.12.23,0,0
08.12.23,0,0
09.12.23,0,0
10.12.23,0,0
11.12.23,0,0
12.12.23,0,0
13.12.23,0,0
14.12.23,0,0
15.12.23,0,0
16.12.23,0,0
17.12.23,0,0
18.12.23,0,0
19.12.23,0,0
20.12.23,0,0
21.12.23,0,0
22.12.23,0,1
23.12.23,0,1
24.12.23,0,1
25.12.23,1,1
26.12.23,1,1
27.12.23,0,1
28.12.23,0,1
29.12.23,0,1
30.12.23,0,1
31.12.23,0,1
01.01.24,1,1
02.01.24,0,1
03.01.24,0,1
04.01.24,0,1
05.01.24,0,1
06.01.24,0,0
07.01.24,0,0
08.01.24,0,0
09.01.24,0,0
10.01.24,0,0
11.01.24,0,0
12.01.24,0,0
13.01.24,0,0
14.01.24,0,0
15.01.24,0,0
16.01.24,0,0
17.01.24,0,0
18.01.24,0,0
19.01.24,0,0
20.01.24,0,0
21.01.24,0,0
22.01.24,0,0
23.01.24,0,0
24.01.24,0,0
25.01.24,0,0
26.01.24,0,0
27.01.24,0,0
28.01.24,0,0
29.01.24,0,0
30.01.24,0,0
31.01.24,0,0
01.02.24,0,0
02.02.24,0,0
03.02.24,0,0
04.02.24,0,0
05.02.24,0,0
06.02.24,0,0
07.02.24,0,0
08.02.24,0,0
09.02.24,0,0
10.02.24,0,0
11.02.24,0,0
12.02.24,0,0
13.02.24,0,0
14.02.24,0,0
15.02.24,0,0
16.02.24,0,0
17.02.24,0,0
18.02.24,0,0
19.02.24,0,0
20.02.24,0,0
21.02.24,0,0
22.02.24,0,0
23.02.24,0,0
24.02.24,0,0
25.02.24,0,0
26.02.24,0,0
27.02.24,0,0
28.02.24,0,0
29.02.24,0,0
01.03.24,0,0
02.03.24,0,0
03.03.24,0,0
04.03.24,0,0
05.03.24,0,0
06.03.24,0,0
07.03.24,0,0
08.03.24,0,0
09.03.24,0,0
10.03.24,0,0
11.03.24,0,0
12.03.24,0,0
13.03.24,0,0
14.03.24,0,0
15.03.24,0,0
16.03.24,0,0
17.03.24,0,0
18.03.24,0,1
19.03.24,0,1
20.03.24,0,1
21.03.24,0,1
22.03.24,0,1
23.03.24,0,1
24.03.24,0,1
25.03.24,0,1
26.03.24,0,1
27.03.24,0,1
28.03.24,0,1
29.03.24,1,0
30.03.24,0,0
31.03.24,0,0
01.04.24,1,0
02.04.24,0,0
03.04.24,0,0
04.04.24,0,0
05.04.24,0,0
06.04.24,0,0
07.04.24,0,0
08.04.24,0,0
09.04.24,0,0
10.04.24,0,0
11.04.24,0,0
12.04.24,0,0
13.04.24,0,0
14.04.24,0,0
15.04.24,0,0
16.04.24,0,0
17.04.24,0,0
18.04.24,0,0
19.04.24,0,0
20.04.24,0,0
21.04.24,0,0
22.04.24,0,0
23.04.24,0,0
24.04.24,0,0
25.04.24,0,0
26.04.24,0,0
27.04.24,0,0
28.04.24,0,0
29.04.24,0,0
30.04.24,0,0
01.05.24,1,0
02.05.24,0,0
03.05.24,0,0
04.05.24,0,0
05.05.24,0,0
06.05.24,0,0
07.05.24,0,0
08.05.24,0,0
09.05.24,1,0
10.05.24,0,1
11.05.24,0,0
12.05.24,0,0
13.05.24,0,0
14.05.24,0,0
15.05.24,0,0
16.05.24,0,0
17.05.24,0,0
18.05.24,0,0
19.05.24,0,0
20.05.24,1,0
21.05.24,0,1
22.05.24,0,1
23.05.24,0,1
24.05.24,0,1
25.05.24,0,0
26.05.24,0,0
27.05.24,0,0
28.05.24,0,0
29.05.24,0,0
30.05.24,0,0
31.05.24,0,0
